,ID,Applies To,Country,Date Start,Date end intended,Description of measure implemented,Exceptions,Implementing City,Implementing State/Province,Keywords,Quantity,Source,Target city,Target country,Target region,Target state,leaving home,restaurant closure,school closure,travel restriction
14,126,,Vietnam,"Feb 01, 2020","Feb 02, 2020","International border gates Móng Cái (Quảng Ninh Province, Vietnam) - Dongxing (Guangxi, China) ceased functioning on 1 February for an unspecified time; border gates Hoành Mô and Bắc Phong Sinh experienced a 24-hour closure, awaiting further measurements from authorities.",,,Quang Ninh,international travel ban,,https://vtc.vn/tin-tuc-trong-ngay/quang-ninh-dong-cua-cac-diem-xuat-hang-tren-tuyen-bien-gioi-giap-trung-quoc-ar524858.html,,China,,,False,False,False,True
15,20,,Vietnam,"Jan 16, 2020",,Two tourists from Wuhan presenting with fevers were quarantined at the airport in Danang ,,Danang,,international traveller screening,,https://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus,,,,,False,False,False,True
19,,,South Korea,"Mar 17, 2020",,"Child cares, Kindergartens- remain to be closed until 5 April 2020/ All schools postponed commencements to 3 April 2020 ",,,,school closure,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=80044&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N,,,,,False,False,True,False
20,,,South Korea,"Mar 13, 2020",,"Special Entry Measure extended to students from Hong Kong Macau (12.Feb~), Italy, Iran (1 March~), France, Germany, Spain, UK and the Netherland (special entry measure involves- remote school, 14 days quarantine after arrival, constant health monitoring) ",,,,"international students, international traveller screening",,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=80033&lev=0&searchType=null&statusYN=W&page=2&s=moe&m=020402&opType=N,,"China, France, Germany, Hong Kong, Iran, Italy, Spain, United Kingdom, the Netherlands",Macau,,False,False,False,True
22,672,,South Korea,"Mar 11, 2020",,air travel continues on Korea-US routes for economic purposes- installed quarantine centers in Incheon airport - every passenger regardless of nationalities must get checked on fever and fill out self-questionnaires before departure and arrival. ,,,,"14 days, international traveller screening, traveller quarantine",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,False,False,False,True
24,,,South Korea,"Mar 09, 2020",,"Released COVID-19 preventive strategy encourage all people to wear masks, thorough hand-sanitization and social distancing",,,,"personal hygiene, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
25,671,,South Korea,"Mar 05, 2020",,Discourage people to participate in group and indoor activities and all workforces nationwide- work remotely ,,,,"remote work, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
27,,,South Korea,"Mar 02, 2020",,Ministry of Education- provide e-learning resources to students for free so students can preview contents before the semester begins ,,,,remote schooling,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79917&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,,,,,False,False,True,False
28,,,South Korea,"Mar 02, 2020",,"Ministry of Education- postponed commencement of kindergarten, primary and high schools for another two weeks (9 March to 23 March)  ",,,,school closure,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79917&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,,,,,False,False,True,False
31,667,,South Korea,"Mar 02, 2020",,KCDC announced national disinfecting strategy in public spaces to damage minimisation. ,,,,"public announcement, public hygiene",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
32,,,South Korea,"Mar 01, 2020",,Both ministry of education in Korea and China agreed to discourage both Korean and China international students to enter into both countries for upcoming semester until COVID19 resolved.  (if they enter in either nations- special entry procedure will be implemented) ,,,,university closure,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79905&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,,,,,False,False,True,False
33,657,,South Korea,"Feb 29, 2020",,"Avoid activities in confined space, call for non-essential event restriction in churches ",,,,"religious activity limitations, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
34,656,,South Korea,"Feb 29, 2020",,All Nations- maintain personal hygiene and practice social distancing until early March perhaps longer ,,,,"personal hygiene, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
36,651,,South Korea,"Feb 27, 2020",,All medical staffs must wear individual protection gear or full-bodie gear for examinations ,,,,"medical staff protective equipment, travel warning",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view,,,,,False,False,False,True
37,649,,South Korea,"Feb 27, 2020",,"all national, state and local authorities are conducting epidemiologic survey and disinfecting public spaces after briefing from Korean CDC (KCDC)",,,,"epidemic data, public hygiene",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
38,647,,South Korea,"Feb 26, 2020",,Limit all church activities and self-isolate first if you exhibit any slight symptom and contact the hospital ,,,"Daegu, Gyeongbook Province","isolation, religious activity cancellation, symptom isolation, targeted isolation",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
39,646,,South Korea,"Feb 25, 2020",,"Strictly maintain hand-wash and cough etiquette and maintain social distance within family, use separate towel and cutleries",,,,"hygiene enforcement, individual hygiene, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
40,644,,South Korea,"Feb 25, 2020",,Limit outdoor activity and interstate visit and follow self-isolation protocols ,,,"Daegu, Gyeongbook Province","self-isolation, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
55,,,South Korea,"Mar 12, 2020",,"Business Intensive Care Policy- nationally increased disinfecting, santising, ventilation processes in confined facilities (gym, karaoke, call centres, computer rooms, club and private academies), each business appoint one personnel as infection management officer- check temperature of staffs and customers twice a day & block use of common rooms ",,,,"public facility cleaning, public hygiene",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,,True,False,False,False
56,,,Singapore,"Mar 20, 2020",,All returning Singaporeans issued 14-day SHN ,,,,"compulsory isolation, traveller quarantine",,,,,,,False,False,False,True
57,,,Singapore,"Mar 23, 2020",,All short-term visitors banned,,,,international travel ban,,,,,,,False,False,False,True
59,,,Israel,"Jan 30, 2020",,Israel suspended all flights from China.,,,,international travel ban,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,,False,False,False,True
64,,,Sweden,"Mar 18, 2020",,High schools and universities told to  stop in-person classes ,,,,"compulsory isolation, school closure, university closure",,https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe,,,,,False,False,True,False
66,,,Sweden,"Mar 17, 2020",,"Temporary entry ban to the EU via Sweden. In response to the European Council’s and the European Commission’s call for travel restrictions, the Government decided on 17 March to temporarily stop non-essential travel to Sweden so as to mitigate the effects of the outbreak of the COVID-19 virus and reduce the spread of the disease.",,,,international travel ban,,,,,,,False,False,False,True
